member_id,name,national_id,phone,branch_id,employer,join_date,risk_rating
M00022,Lucy Mutua,21489364,0768526649,BR009,Self Employed,2020-10-18,Normal
M00023,James Omondi,31079674,0793638503,BR009,Matatu SACCO Crew,2025-07-16,Normal
M00024,Everlyne Nyambura,30944882,0764009265,BR011,Retired,2020-11-24,Normal
M00025,Geoffrey Maina,25839388,0792613013,BR005,Kenya Ports Authority,2025-09-19,Normal
M00026,Margaret Wafula,27052560,0767698610,BR005,Kenya Revenue Authority,2024-01-21,Normal
M00027,Erick Achieng,27170629,0778608612,BR010,KPLC,2026-04-21,Normal
M00028,Moses Omondi,31247051,0722534217,BR013,Private Security Firm,2021-05-28,Normal
M00029,Daniel Wanjiru,20819580,0716202700,BR013,National Police Service,2022-02-19,Normal
M00030,Robert Kariuki,39316310,0736096655,BR008,Retired,2026-05-10,Normal
M00031,Samuel Kariuki,20186053,0724305904,BR012,Kenya Revenue Authority,2023-10-22,Normal
M00032,Diana Koech,35587707,0716740197,BR007,Safaricom,2021-12-15,Normal
M00033,Erick Omondi,37821828,0785017682,BR004,Kenya Ports Authority,2020-11-11,Normal
M00034,Consolata Koech,34319043,0783534128,BR006,KPLC,2024-06-18,Normal
M00035,Elijah Cheruiyot,29305024,0779967676,BR015,KPLC,2021-04-14,Normal
M00036,Isaac Wafula,27868298,0746468984,BR011,Matatu SACCO Crew,2022-03-08,Normal
M00037,Paul Maina,25127293,0738716269,BR006,Teacher - TSC,2025-07-23,Normal
M00038,Beatrice Kamau,26940210,0766390708,BR007,Small Business Owner,2024-01-27,Normal
M00039,Emily Muthoni,32763469,0774019136,BR015,Self Employed,2026-01-19,Normal
M00040,Damaris Nyambura,38059685,0783300637,BR006,Kenya Revenue Authority,2022-11-07,Normal
M00041,Dennis Onyango,20973911,0762191530,BR010,Matatu SACCO Crew,2021-12-22,Normal
M00042,Rebecca Wanjiru,37922215,0713619375,BR011,Farmer / Agribusiness,2024-01-14,Normal
M00043,Jane Kariuki,34381858,0728213276,BR007,Private Security Firm,2026-02-20,Normal
M00044,Patrick Kiptoo,35257177,0753868501,BR008,Matatu SACCO Crew,2021-07-16,Normal
M00045,Damaris Nyambura,28464827,0720993268,BR013,KPLC,2023-10-02,Normal
M00046,Joyce Cheruiyot,22302450,0797477029,BR001,Self Employed,2025-07-20,Normal
M00047,John Waweru,25113103,0742016960,BR013,County Government,2019-11-07,Normal
M00048,Sarah Chebet,28598111,0759512272,BR008,County Government,2020-10-13,Normal
M00049,Alice Wafula,23627192,0787669750,BR010,Self Employed,2026-04-24,Normal
M00050,Rose Maina,26654843,0720200074,BR015,Kenya Ports Authority,2022-12-31,Normal
M00051,Margaret Langat,24061933,0785958181,BR012,Kenya Revenue Authority,2022-03-23,Normal
M00052,Kevin Otieno,36977226,0796911784,BR001,Matatu SACCO Crew,2023-05-25,Normal
M00053,Kevin Kariuki,35426292,0730534124,BR001,Small Business Owner,2024-03-18,Normal
M00054,Kennedy Adhiambo,38058086,0774893936,BR003,KPLC,2025-05-09,Normal
M00055,Paul Gitau,22907924,0747437115,BR007,Farmer / Agribusiness,2026-02-22,Normal
M00056,Everlyne Maina,31287597,0713852048,BR008,KPLC,2022-03-27,Normal
M00057,Kevin Ndungu,28668868,0755679506,BR014,Boda Boda Operator,2023-02-23,Normal
M00058,Purity Kiptoo,22872694,0742394260,BR015,Retired,2026-03-09,Normal
M00059,Diana Onyango,36469231,0770152969,BR007,Kenya Revenue Authority,2024-12-24,Normal
M00060,Isaac Cheruiyot,30274569,0799115205,BR001,Kenya Ports Authority,2020-07-18,Normal
M00061,Beatrice Wekesa,38467972,0754398056,BR006,Matatu SACCO Crew,2024-10-22,Normal
M00062,Paul Odhiambo,26462056,0752352128,BR012,Teacher - TSC,2024-08-03,Normal
M00063,Martin Onyango,29277787,0789133014,BR012,Kenya Revenue Authority,2025-07-05,Normal
M00064,Damaris Kiptoo,29940381,0740532273,BR009,Matatu SACCO Crew,2026-03-12,Normal
M00065,Ann Mutua,21527253,0717318358,BR003,Safaricom,2022-11-22,Normal
M00066,Winnie Odhiambo,20411558,0787049595,BR005,Boda Boda Operator,2020-12-01,Normal
M00067,Peter Mutua,36029931,0725312516,BR008,Private Security Firm,2024-11-13,Normal
M00068,Julius Omondi,21798822,0730364454,BR002,County Government,2023-12-30,Normal
M00069,Paul Odhiambo,38725823,0765857931,BR013,Kenya Ports Authority,2025-10-24,Normal
M00070,Simon Achieng,29977515,0788990506,BR010,Small Business Owner,2022-01-12,Normal
M00071,Martin Odhiambo,26972205,0793955206,BR005,National Police Service,2025-11-17,Normal
M00072,Vincent Otieno,25252363,0710359129,BR005,Small Business Owner,2020-05-30,Normal
M00073,Paul Wafula,29486454,0770939053,BR008,Teacher - TSC,2026-02-28,Normal
M00074,Judith Muthoni,26637711,0767061186,BR011,Teacher - TSC,2022-02-13,Normal
M00075,Stephen Gitau,24772657,0719584466,BR009,Self Employed,2022-01-08,Normal
M00076,Susan Adhiambo,29684164,0768942178,BR003,Teacher - TSC,2022-12-13,Normal
M00077,Purity Rotich,36569018,0768755000,BR008,Teacher - TSC,2022-11-29,Normal
M00078,Nancy Mutua,20867881,0722257687,BR010,National Police Service,2019-12-13,Normal
M00079,Emily Omondi,29043289,0770548145,BR011,Self Employed,2025-12-14,Normal
M00080,Sarah Adhiambo,29333385,0734359060,BR013,Kenya Ports Authority,2021-06-19,Normal
M00081,Dennis Barasa,30772927,0799943797,BR007,Teacher - TSC,2025-01-06,Normal
M00082,Charles Wafula,33436947,0783832717,BR014,Self Employed,2021-04-21,Normal
M00083,David Mumo,33561864,0779067939,BR008,Private Security Firm,2020-06-27,Normal
M00084,Daniel Koech,32139300,0793568503,BR001,Kenya Revenue Authority,2025-08-02,Normal
M00085,Vincent Wanjiru,29664654,0768802946,BR008,Farmer / Agribusiness,2024-06-16,Normal
M00086,Julius Waweru,28029490,0731257157,BR012,Boda Boda Operator,2024-12-08,Normal
M00087,Paul Gitau,23807123,0771934487,BR009,Teacher - TSC,2019-08-28,Normal
M00088,Margaret Koech,29174617,0765766169,BR011,Private Security Firm,2021-03-24,Normal
M00089,Samuel Maina,26395822,0790447099,BR008,Safaricom,2024-10-18,Normal
M00090,Kennedy Langat,33923157,0755617282,BR012,Farmer / Agribusiness,2021-01-12,Normal
M00091,Margaret Wekesa,30017871,0788777447,BR013,Kenya Ports Authority,2025-03-12,Normal
M00092,Charles Kilonzo,31154833,0784077101,BR011,Kenya Revenue Authority,2024-12-28,Normal
M00093,Lilian Kiptoo,28012984,0786745380,BR009,Small Business Owner,2023-09-25,Normal
M00094,Charles Chebet,32791994,0761818612,BR004,Ministry of Health,2024-02-09,Normal
M00095,Ann Koech,39803169,0754559574,BR013,Private Security Firm,2021-03-17,Normal
M00096,Sarah Mwangi,24837053,0765026398,BR002,Private Security Firm,2024-06-09,Normal
M00097,Stephen Barasa,33337327,0797219599,BR011,Teacher - TSC,2021-03-26,Normal
M00098,Patrick Kariuki,36372800,0782613940,BR014,Self Employed,2023-03-09,Normal
M00099,Rebecca Wafula,27633172,0722130508,BR010,Small Business Owner,2020-04-08,Normal
M00100,Francis Wamalwa,20971308,0716172803,BR002,Matatu SACCO Crew,2020-08-17,Normal
M00101,Dennis Wanjiru,28193906,0781291936,BR013,Small Business Owner,2020-02-17,Normal
M00102,Michael Langat,32836056,0793176117,BR010,Ministry of Health,2021-07-09,Normal
M00103,Erick Kariuki,28522065,0771682508,BR004,Boda Boda Operator,2025-01-30,Normal
M00104,Everlyne Rotich,25300782,0719913576,BR011,KPLC,2019-08-10,Normal
M00105,Beatrice Chebet,28391903,0771315464,BR006,Private Security Firm,2026-02-02,Normal
M00106,Faith Cheruiyot,32796462,0786762164,BR005,Matatu SACCO Crew,2021-09-25,Normal
M00107,Duncan Omondi,33281036,0746840133,BR010,Self Employed,2022-10-26,Normal
M00108,Damaris Wamalwa,29603082,0740885967,BR010,Kenya Ports Authority,2020-01-19,Normal
M00109,Nancy Mutua,24589549,0794322033,BR013,Teacher - TSC,2023-06-15,Normal
M00110,Grace Muthoni,32242711,0727637794,BR015,Teacher - TSC,2019-12-11,Normal
M00111,Alice Kiptoo,24434546,0782398083,BR015,Farmer / Agribusiness,2022-10-23,Normal
M00112,Damaris Njoroge,28622485,0774672520,BR006,Kenya Revenue Authority,2025-06-15,Normal
M00113,James Wanjiru,27570372,0763339667,BR005,Private Security Firm,2023-04-20,Normal
M00114,Brian Mwangi,28873757,0782017516,BR013,Teacher - TSC,2025-10-01,Normal
M00115,Damaris Kariuki,32464587,0724541967,BR008,Ministry of Health,2023-08-20,Normal
M00116,Caroline Barasa,27427850,0796926431,BR004,Teacher - TSC,2024-10-15,Normal
M00117,Faith Wanjiru,21521586,0714994527,BR011,Boda Boda Operator,2024-09-15,Normal
M00118,Vincent Wanjiru,33040790,0770887034,BR008,Matatu SACCO Crew,2020-10-20,Normal
M00119,Mercy Wanjiru,33921214,0797902129,BR011,Teacher - TSC,2025-07-23,Normal
M00120,Stephen Kamau,32432922,0739161443,BR014,KPLC,2024-12-27,Normal
M00121,Geoffrey Kilonzo,38269242,0796547189,BR008,Matatu SACCO Crew,2022-02-24,Normal
M00122,David Langat,35257783,0722304198,BR001,Ministry of Health,2023-12-19,Normal
M00123,Patrick Cheruiyot,24225304,0785776373,BR004,National Police Service,2026-03-13,Normal
M00124,Damaris Langat,27818138,0754098516,BR002,Kenya Revenue Authority,2025-09-19,Normal
M00125,Samuel Wanjiru,38126622,0743642236,BR003,Kenya Revenue Authority,2026-03-09,Normal
M00126,Kevin Ndungu,27983659,0789034501,BR003,Matatu SACCO Crew,2020-09-25,Normal
M00127,Martin Nyambura,37652501,0725253751,BR001,Retired,2021-06-15,Normal
M00128,Purity Muthoni,23659245,0770667140,BR002,Safaricom,2024-11-03,Normal
M00129,Rebecca Langat,37496999,0750484137,BR004,KPLC,2026-05-26,Normal
M00130,Lilian Maina,34303369,0724490391,BR011,KPLC,2019-11-07,Normal
M00131,Agnes Waweru,24977257,0718815720,BR012,County Government,2024-06-22,Normal
M00132,Rose Waweru,37802533,0749580505,BR005,KPLC,2026-01-24,Normal
M00133,Isaac Odhiambo,38499740,0738859907,BR009,Small Business Owner,2026-04-16,Normal
M00134,Erick Maina,33958296,0722762205,BR008,Matatu SACCO Crew,2022-01-23,Normal
M00135,Samuel Omondi,35913789,0719010480,BR007,Teacher - TSC,2023-01-03,Normal
M00136,Martin Wekesa,32503953,0727463800,BR014,Safaricom,2020-06-16,Normal
M00137,Everlyne Odhiambo,33784450,0757459130,BR001,Private Security Firm,2026-01-29,Normal
M00138,Nancy Wafula,31799288,0723905032,BR011,Kenya Ports Authority,2024-03-30,Normal
M00139,Esther Langat,23631206,0756991504,BR009,Private Security Firm,2021-11-20,Normal
M00140,Susan Cheruiyot,34398623,0785291541,BR009,Kenya Revenue Authority,2023-08-16,Normal
M00141,Nancy Adhiambo,28974056,0713886030,BR014,County Government,2026-05-20,Normal
M00142,Joseph Langat,24806722,0786010330,BR005,Ministry of Health,2022-12-19,Normal
M00143,Mary Otieno,37800045,0738874646,BR007,Small Business Owner,2020-04-13,Normal
M00144,Francis Wekesa,30884483,0786181117,BR007,Kenya Ports Authority,2024-08-03,Normal
M00145,Michael Kamau,22737421,0746521025,BR002,KPLC,2020-02-03,Normal
M00146,Beatrice Mutua,27233294,0778765957,BR011,Teacher - TSC,2024-04-03,Normal
M00147,Geoffrey Muthoni,36328685,0780723898,BR006,Ministry of Health,2024-04-27,Normal
M00148,Michael Kamau,20257935,0737437207,BR005,Boda Boda Operator,2020-01-05,Normal
M00149,David Mwangi,36689482,0767801537,BR004,County Government,2021-01-15,Normal
M00150,Purity Rotich,31883878,0719673809,BR003,Small Business Owner,2023-10-07,Normal
M00151,Simon Otieno,30504571,0787277086,BR014,Small Business Owner,2019-12-23,Normal
M00152,David Maina,20699829,0753589647,BR010,County Government,2024-01-14,Normal
M00153,Felix Odhiambo,28164346,0768475513,BR013,Kenya Ports Authority,2024-08-29,Normal
M00154,Francis Wekesa,31392175,0739738898,BR007,Matatu SACCO Crew,2025-05-18,Normal
M00155,Faith Koech,37111151,0736025314,BR013,Farmer / Agribusiness,2021-05-21,Normal
M00156,Damaris Kariuki,24955648,0741711468,BR013,Teacher - TSC,2023-06-03,Normal
M00157,Samuel Mumo,22528436,0733776150,BR003,Kenya Revenue Authority,2022-05-16,Normal
M00158,Emily Muthoni,35062760,0785764804,BR011,Ministry of Health,2025-01-15,Normal
M00159,Erick Otieno,35734380,0769352161,BR011,Ministry of Health,2023-02-15,Normal
M00160,Moses Otieno,30415559,0771974027,BR005,KPLC,2022-08-01,Normal
M00161,Jane Kariuki,23029847,0792545028,BR001,Kenya Ports Authority,2020-02-21,Normal
M00162,Irene Wekesa,21376493,0770362235,BR009,Farmer / Agribusiness,2023-10-24,Normal
M00163,Michael Onyango,36823095,0730248230,BR013,Self Employed,2025-11-29,Normal
M00164,Jane Koech,25790116,0715253567,BR008,National Police Service,2020-08-29,Normal
M00165,Nancy Njoroge,32210389,0760043345,BR012,Farmer / Agribusiness,2024-05-30,Normal
M00166,Everlyne Waweru,21757095,0794676162,BR005,Ministry of Health,2023-11-05,Normal
M00167,Geoffrey Maina,29534390,0743822301,BR006,Retired,2020-03-28,Normal
M00168,Anthony Omondi,24745548,0756952151,BR014,Boda Boda Operator,2026-04-05,Normal
M00169,Jane Wafula,38754312,0760557040,BR011,Ministry of Health,2023-11-24,Normal
M00170,Damaris Wekesa,37662829,0722543044,BR013,Ministry of Health,2023-03-09,Normal
M00171,Kevin Wafula,26048619,0738748452,BR011,Matatu SACCO Crew,2024-04-01,Normal
M00172,Samuel Wanjiru,22589230,0749700543,BR013,Private Security Firm,2024-12-14,Normal
M00173,Damaris Wekesa,37667469,0715066382,BR013,Ministry of Health,2020-08-20,Normal
M00174,Joseph Njoroge,25554572,0768743530,BR006,Self Employed,2020-12-20,Normal
M00175,Nancy Wafula,35063522,0741407343,BR007,Safaricom,2023-08-03,Normal
M00176,Lucy Kilonzo,39140098,0769135982,BR004,KPLC,2022-12-21,Normal
M00177,Beatrice Njoroge,26700743,0791156554,BR013,County Government,2022-08-30,Normal
M00178,Lilian Kilonzo,38607299,0723769360,BR014,Retired,2022-04-22,Normal
M00179,Elijah Njoroge,29153357,0770306604,BR014,Farmer / Agribusiness,2025-04-15,Normal
M00180,Simon Cheruiyot,35137343,0756920514,BR009,Farmer / Agribusiness,2021-02-25,Normal
M00181,Kevin Cheruiyot,32957584,0720952896,BR001,Matatu SACCO Crew,2024-02-26,Normal
M00182,Damaris Chebet,31250477,0729602406,BR004,County Government,2019-10-26,Normal
M00183,Ann Mumo,35740723,0770210270,BR001,Kenya Ports Authority,2022-09-20,Normal
M00184,Duncan Wanjiru,38414814,0791722503,BR001,Safaricom,2020-05-22,Normal
M00185,David Kamau,28000702,0766348030,BR007,Ministry of Health,2020-09-30,Normal
M00186,Robert Onyango,37986980,0712205915,BR013,Ministry of Health,2024-08-17,Normal
M00187,Margaret Nyambura,20052490,0792518345,BR009,Matatu SACCO Crew,2025-12-13,Normal
M00188,Geoffrey Otieno,37565226,0758399417,BR004,Teacher - TSC,2025-11-25,Normal
M00189,Purity Rotich,20682306,0762405812,BR009,Private Security Firm,2025-08-08,Normal
M00190,Kevin Mutua,20544998,0757928328,BR008,Kenya Revenue Authority,2019-12-28,Normal
M00191,Judith Odhiambo,39525435,0754629892,BR002,County Government,2023-05-15,Normal
M00192,Julius Njoroge,35590157,0774227366,BR001,Ministry of Health,2023-06-15,Normal
M00193,Sarah Kamau,29846298,0737057085,BR003,Self Employed,2021-01-05,Normal
M00194,Francis Koech,33362181,0782884346,BR013,KPLC,2021-09-27,Normal
M00195,Kevin Langat,21604037,0798010774,BR005,Matatu SACCO Crew,2019-11-29,Normal
M00196,Brian Wekesa,34755112,0761894582,BR005,Matatu SACCO Crew,2020-11-23,Normal
M00197,Kennedy Koech,28949661,0721087928,BR003,Retired,2025-01-24,Normal
M00198,Damaris Njoroge,38303083,0749428661,BR007,Matatu SACCO Crew,2020-05-21,Normal
M00199,Margaret Achieng,34298082,0732366682,BR002,Retired,2020-05-25,Normal
M00200,Felix Adhiambo,31829927,0792523968,BR008,Small Business Owner,2023-06-11,Normal
M00201,Rose Kilonzo,37216309,0731473054,BR005,Self Employed,2020-02-22,Normal
M00202,James Cheruiyot,32291943,0758607028,BR003,Small Business Owner,2026-04-25,Normal
M00203,Erick Kilonzo,32482697,0769584522,BR010,Kenya Revenue Authority,2019-11-12,Normal
M00204,Rose Barasa,29351276,0743502308,BR002,Teacher - TSC,2025-12-08,Normal
M00205,Rebecca Rotich,23951403,0745135070,BR001,Kenya Revenue Authority,2021-08-03,Normal
M00206,Margaret Chebet,36481943,0736867482,BR005,Teacher - TSC,2024-07-03,Normal
M00207,Isaac Achieng,22945768,0752894344,BR003,Ministry of Health,2020-05-01,Normal
M00208,Consolata Wafula,25284999,0795590648,BR006,County Government,2020-03-24,Normal
M00209,Daniel Ndungu,24659934,0741774192,BR013,Kenya Revenue Authority,2023-07-22,Normal
M00210,Joyce Achieng,38510199,0727417599,BR008,Kenya Ports Authority,2019-10-18,Normal
M00211,Isaac Wekesa,36061335,0780557676,BR015,Small Business Owner,2020-06-20,Normal
M00212,Patrick Kariuki,22488565,0770394554,BR013,KPLC,2024-02-04,Normal
M00213,Duncan Mumo,38498673,0795871687,BR011,Kenya Ports Authority,2025-04-21,Normal
M00214,Lilian Kamau,24166155,0779538491,BR003,County Government,2020-12-12,Normal
M00215,Isaac Cheruiyot,20790736,0779645282,BR005,Farmer / Agribusiness,2021-05-07,Normal
M00216,Vincent Mutua,24200018,0793889081,BR005,Boda Boda Operator,2020-05-21,Normal
M00217,Alice Muthoni,39483263,0730695604,BR010,County Government,2025-06-26,Normal
M00218,Susan Kamau,20952056,0720901547,BR011,Self Employed,2026-04-15,Normal
M00219,Emily Muthoni,33978332,0792961108,BR011,Ministry of Health,2025-12-20,Normal
M00220,Judith Wafula,36204939,0742866956,BR001,Kenya Revenue Authority,2025-01-31,Normal
M00221,Isaac Kamau,25304299,0769002851,BR013,Small Business Owner,2024-01-21,Normal
M00222,Samuel Barasa,30714480,0756354851,BR008,Small Business Owner,2024-09-16,Normal
M00223,Agnes Cheruiyot,35652222,0726444612,BR003,Boda Boda Operator,2023-08-28,Normal
M00224,Francis Maina,34030273,0743322272,BR008,Private Security Firm,2022-04-13,Normal
M00225,Mercy Barasa,26369775,0731386576,BR015,KPLC,2021-04-17,Normal
M00226,Winnie Mwangi,23021546,0762780072,BR009,Safaricom,2024-09-26,Normal
M00227,Grace Kamau,29440752,0776423575,BR008,Kenya Ports Authority,2022-03-15,Normal
M00228,Lilian Odhiambo,34459536,0727976443,BR015,Farmer / Agribusiness,2024-10-11,Normal
M00229,Brian Kamau,39135476,0785405783,BR005,National Police Service,2023-08-09,Normal
M00230,Moses Achieng,38450142,0747543473,BR006,Private Security Firm,2025-09-15,Normal
M00231,David Maina,32522458,0755511258,BR010,Safaricom,2026-05-09,Normal
M00232,Rose Koech,21350730,0716080513,BR006,Self Employed,2021-02-12,Normal
M00233,Ann Waweru,37297502,0728761086,BR003,Matatu SACCO Crew,2023-03-28,Normal
M00234,Michael Wekesa,30040638,0789688374,BR015,Matatu SACCO Crew,2026-05-18,Normal
M00235,Anthony Wafula,35934751,0712232974,BR009,Matatu SACCO Crew,2025-03-20,Normal
M00236,Irene Wamalwa,20894130,0790115852,BR006,KPLC,2020-09-23,Normal
M00237,Peter Muthoni,36121186,0732885741,BR005,Safaricom,2025-12-27,Normal
M00238,Esther Kamau,39212270,0724749927,BR011,National Police Service,2023-10-07,Normal
M00239,Dennis Chebet,26841469,0765079923,BR001,Safaricom,2024-06-12,Normal
M00240,Mercy Wekesa,22089813,0728533117,BR013,Safaricom,2026-05-11,Normal
M00241,Winnie Koech,32644141,0752111160,BR004,County Government,2025-10-16,Normal
M00242,Everlyne Mumo,28870522,0791883092,BR008,KPLC,2025-06-24,Normal
M00243,Esther Wafula,29697369,0737820354,BR004,Retired,2022-04-07,Normal
M00244,Vincent Adhiambo,29175712,0748626436,BR012,Teacher - TSC,2024-12-25,Normal
M00245,Rose Gitau,31580797,0729659692,BR010,Boda Boda Operator,2025-08-04,Normal
M00246,Erick Kariuki,28604831,0774300930,BR001,National Police Service,2022-09-23,Normal
M00247,Diana Mutua,24606116,0724660143,BR004,Kenya Ports Authority,2025-07-17,Normal
M00248,Geoffrey Wamalwa,37818795,0740289135,BR012,Ministry of Health,2026-01-30,Normal
M00249,Isaac Onyango,23373727,0728450513,BR004,Self Employed,2020-02-03,Normal
M00250,Consolata Wamalwa,35961831,0774082055,BR009,Ministry of Health,2021-04-09,Normal
M00251,Peter Adhiambo,23001803,0797550053,BR004,Kenya Ports Authority,2022-09-21,Normal
M00252,Alice Nyambura,25898490,0714877451,BR004,Private Security Firm,2025-07-02,Normal
M00253,Lilian Adhiambo,29712899,0715028625,BR007,Self Employed,2025-01-21,Normal
M00254,Patrick Wafula,35245425,0796075494,BR005,Safaricom,2025-11-14,Normal
M00255,Sarah Mutua,26469676,0725119192,BR009,Matatu SACCO Crew,2025-01-15,Normal
M00256,Joseph Mwangi,31311607,0749597485,BR003,Kenya Ports Authority,2024-08-24,Normal
M00257,Judith Wamalwa,33605999,0767405358,BR011,Safaricom,2021-09-01,Normal
M00258,Alice Wanjiru,36020701,0753433080,BR006,Farmer / Agribusiness,2020-06-22,Normal
M00259,Erick Mumo,28958842,0754241559,BR004,Boda Boda Operator,2019-07-30,Normal
M00260,Kevin Chebet,27928998,0718338186,BR010,Ministry of Health,2025-12-04,Normal
M00261,Geoffrey Koech,30434688,0725759274,BR002,Ministry of Health,2024-09-20,Normal
M00262,Esther Wanjiru,36045122,0730560218,BR015,KPLC,2022-10-23,Normal
M00263,Vincent Adhiambo,35798368,0782144402,BR012,Kenya Revenue Authority,2026-04-18,Normal
M00264,Nancy Langat,22747111,0780532309,BR011,KPLC,2021-12-13,Normal
M00265,Faith Kamau,38376059,0777845324,BR009,National Police Service,2023-07-23,Normal
M00266,Felix Koech,34825708,0725601471,BR010,Ministry of Health,2025-07-09,Normal
M00267,Moses Achieng,21866827,0770858653,BR004,County Government,2026-01-15,Normal
M00268,Caroline Achieng,30340454,0712921981,BR009,Small Business Owner,2024-02-28,Normal
M00269,Grace Nyambura,31560470,0718557710,BR005,Safaricom,2019-07-15,Normal
M00270,Dennis Njoroge,24544238,0796104027,BR001,Retired,2020-04-10,Normal
M00271,Rose Achieng,32666675,0760418290,BR011,Teacher - TSC,2024-03-19,Normal
M00272,Joyce Odhiambo,25988581,0782109613,BR011,Small Business Owner,2025-07-19,Normal
M00273,Emily Mwangi,30011400,0772143331,BR009,Ministry of Health,2020-12-05,Normal
M00274,Damaris Cheruiyot,28305125,0771824078,BR012,Matatu SACCO Crew,2025-08-10,Normal
M00275,Mercy Mumo,23786437,0714324134,BR003,Kenya Revenue Authority,2022-08-05,Normal
M00276,Consolata Wamalwa,20524985,0742301683,BR011,National Police Service,2024-03-15,Normal
M00277,Michael Omondi,21633306,0742847661,BR002,Retired,2020-08-19,Normal
M00278,Daniel Mumo,21893947,0728808678,BR001,Safaricom,2024-01-05,Normal
M00279,Michael Mumo,30759735,0741796721,BR005,Boda Boda Operator,2022-02-16,Normal
M00280,Francis Mutua,22045398,0784721440,BR015,Kenya Ports Authority,2021-02-08,Normal
M00281,Caroline Onyango,21573169,0756226575,BR015,Ministry of Health,2021-06-19,Normal
M00282,Dennis Nyambura,25006912,0750250352,BR011,Small Business Owner,2023-10-11,Normal
M00283,Paul Wafula,24843640,0772146184,BR003,Farmer / Agribusiness,2025-07-14,Normal
M00284,Caroline Koech,24499406,0762132722,BR001,National Police Service,2025-10-22,Normal
M00285,Rebecca Achieng,32451294,0722410307,BR005,Safaricom,2021-10-12,Normal
M00286,Geoffrey Waweru,21326995,0719768947,BR012,National Police Service,2021-08-21,Normal
M00287,Daniel Langat,31172428,0750693207,BR013,Farmer / Agribusiness,2026-02-02,Normal
M00288,Faith Wekesa,36069917,0742560305,BR001,Retired,2021-11-16,Normal
M00289,Caroline Barasa,29497890,0761091554,BR010,KPLC,2021-10-17,Normal
M00290,Moses Wamalwa,36685857,0772546007,BR009,Teacher - TSC,2023-07-13,Normal
M00291,Joyce Barasa,33889191,0716135823,BR013,Kenya Ports Authority,2024-10-07,Normal
M00292,Vincent Adhiambo,39596858,0787731247,BR014,Retired,2021-12-25,Normal
M00293,Paul Maina,39118963,0742981324,BR007,KPLC,2022-10-24,Normal
M00294,Winnie Wekesa,36461656,0771851421,BR009,County Government,2023-04-15,Normal
M00295,Vincent Onyango,26175618,0782764376,BR012,Ministry of Health,2023-06-14,Normal
M00296,Jane Gitau,21627872,0710856822,BR001,Small Business Owner,2025-05-18,Normal
M00297,Mary Kiptoo,36969580,0771204580,BR003,Matatu SACCO Crew,2022-02-04,Normal
M00298,Mary Mwangi,37858087,0784040345,BR001,Small Business Owner,2026-06-01,Normal
M00299,Caroline Wafula,20575210,0777406294,BR001,Private Security Firm,2019-09-09,Normal
M00300,David Koech,24996170,0742342289,BR012,National Police Service,2024-04-30,Normal
M00301,Catherine Ndungu,33317634,0720605783,BR010,Matatu SACCO Crew,2025-05-28,Normal
M00302,Isaac Cheruiyot,30065478,0720820219,BR007,Ministry of Health,2024-08-25,Normal
M00303,Brian Rotich,35972080,0717531619,BR014,Ministry of Health,2019-11-09,Normal
M00304,Dennis Kariuki,31115597,0785947990,BR001,Private Security Firm,2021-06-03,Normal
M00305,Robert Langat,39018120,0773820568,BR002,Boda Boda Operator,2025-06-04,Normal
M00306,Susan Omondi,21104000,0734072553,BR001,Farmer / Agribusiness,2020-05-02,Normal
